Triplet,Prob_Success,Prob_Fail,Golden_Diff,Deadlock_Diff
Foot in the Door -> Hesitance -> Foot in the Door,0.13513513513513514,0.1785552021808269,-0.04342006704569176,0.04342006704569176
Foot in the Door -> Personal Choice -> Foot in the Door,0.009009009009009009,0.03680145388459791,-0.0277924448755889,0.0277924448755889
Self Modeling -> Personal Choice -> Self Modeling,0.0015015015015015015,0.02271694684234439,-0.021215445340842888,0.021215445340842888
Foot in the Door -> Hesitance -> Self Modeling,0.01951951951951952,0.0372557928214448,-0.017736273301925277,0.017736273301925277
Self Modeling -> Hesitance -> Self Modeling,0.009009009009009009,0.02271694684234439,-0.013707937833335382,0.013707937833335382
Foot in the Door -> Personal Choice -> Self Modeling,0.0015015015015015015,0.014538845979100408,-0.013037344477598908,0.013037344477598908
Foot in the Door -> Others -> Foot in the Door,0.0015015015015015015,0.013630168105406633,-0.01212866660390513,0.01212866660390513
Self Modeling -> Personal Choice -> Foot in the Door,0.010510510510510511,0.019990913221263062,-0.009480402710752551,0.009480402710752551
Source Related Inquiry -> Hesitance -> Self Modeling,0.003003003003003003,0.009086778736937756,-0.006083775733934753,0.006083775733934753
Foot in the Door -> Information Inquiry -> Foot in the Door,0.003003003003003003,0.009086778736937756,-0.006083775733934753,0.006083775733934753
Personal Related Inquiry -> Personal Choice -> Foot in the Door,0.0015015015015015015,0.007269422989550204,-0.005767921488048703,0.005767921488048703
Source Related Inquiry -> Hesitance -> Source Related Inquiry,0.0001,0.005452067242162653,-0.005352067242162653,0.005352067242162653
Source Related Inquiry -> Hesitance -> Foot in the Door,0.018018018018018018,0.021808268968650613,-0.0037902509506325954,0.0037902509506325954
Credibility Appeal -> Information Inquiry -> Source Related Inquiry,0.013513513513513514,0.017264879600181735,-0.0037513660866682202,0.0037513660866682202
Donation Information -> Information Inquiry -> Foot in the Door,0.0001,0.003634711494775102,-0.0035347114947751022,0.0035347114947751022
