Phase,Triplet,Wrapped_Triplet,Group,Mean_Hs,Mean_Ha,Mean_Delta_Hs,Mean_Delta_Ha,Count
Early (2-3),Personal Story -> Information Inquiry -> Credibility Appeal,"Personal Story
↓
Information Inquiry
↓
Credibility Appeal",Golden Rule,0.43858506729354274,0.35595201143281663,-0.026270194998301726,0.12491483395950273,9
Early (2-3),Emotion Appeal -> Information Inquiry -> Personal Story,"Emotion Appeal
↓
Information Inquiry
↓
Personal Story",Golden Rule,0.4059746908080486,0.15198634263429278,-0.1186163188104856,-0.29844652868730037,4
Early (2-3),Greeting -> Information Inquiry -> Donation Information,"Greeting
↓
Information Inquiry
↓
Donation Information",Golden Rule,0.4689825670079799,0.013889656849662601,0.07479146301551197,-0.11738919405476356,4
Early (2-3),Logical Appeal -> Information Inquiry -> Donation Information,"Logical Appeal
↓
Information Inquiry
↓
Donation Information",Deadlock,0.39807468144628544,0.0002658992825736307,-0.04228309424156712,-0.43215878782234246,5
Early (2-3),Foot in the Door -> Information Inquiry -> Donation Information,"Foot in the Door
↓
Information Inquiry
↓
Donation Information",Deadlock,0.4193487428465832,0.01198418111383001,-0.04046211831609392,-0.1280157297063252,7
Early (2-3),Emotion Appeal -> Information Inquiry -> Donation Information,"Emotion Appeal
↓
Information Inquiry
↓
Donation Information",Deadlock,0.3744896330502382,0.03989117475007181,-0.10621188144156865,-0.39850742309880893,16
Mid (4-6),Donation Information -> Hesitance -> Foot in the Door,"Donation Information
↓
Hesitance
↓
Foot in the Door",Golden Rule,0.4946036155733428,0.0861579034992843,0.07358224337841014,0.018361340717043744,24
Mid (4-6),Credibility Appeal -> Hesitance -> Personal Related Inquiry,"Credibility Appeal
↓
Hesitance
↓
Personal Related Inquiry",Golden Rule,0.45984597116003556,0.12269859464467489,0.016354951080679192,-0.2149924818161916,5
Mid (4-6),Credibility Appeal -> Information Inquiry -> Donation Information,"Credibility Appeal
↓
Information Inquiry
↓
Donation Information",Golden Rule,0.42527038046426263,0.10143301047570165,0.0026432169889959887,-0.27956373654754035,15
Mid (4-6),Credibility Appeal -> Information Inquiry -> Source Related Inquiry,"Credibility Appeal
↓
Information Inquiry
↓
Source Related Inquiry",Deadlock,0.4546082220582775,0.05976925501408362,0.03334216978428608,-0.31242530722168077,38
Mid (4-6),Source Related Inquiry -> Hesitance -> Foot in the Door,"Source Related Inquiry
↓
Hesitance
↓
Foot in the Door",Deadlock,0.5020391363660692,0.05733779293399123,0.05964574178465926,0.006958429679124914,30
Mid (4-6),Donation Information -> Information Inquiry -> Credibility Appeal,"Donation Information
↓
Information Inquiry
↓
Credibility Appeal",Deadlock,0.41999134948848543,0.37479519191063476,0.004893718407359068,0.33133222326944395,35
Late (7-10),Personal Story -> Hesitance -> Foot in the Door,"Personal Story
↓
Hesitance
↓
Foot in the Door",Golden Rule,0.5410177503922116,0.09526159866655609,0.017698912157904645,-0.14025554327230155,64
Late (7-10),Self Modeling -> Hesitance -> Foot in the Door,"Self Modeling
↓
Hesitance
↓
Foot in the Door",Golden Rule,0.5451085607406467,0.07247946600825254,0.009119926316149874,-0.2356394493428187,86
Late (7-10),Personal Related Inquiry -> Hesitance -> Foot in the Door,"Personal Related Inquiry
↓
Hesitance
↓
Foot in the Door",Golden Rule,0.5617989829549797,0.07139979170876266,0.09107534593723421,-0.19037985611916441,8
Late (7-10),Foot in the Door -> Personal Choice -> Foot in the Door,"Foot in the Door
↓
Personal Choice
↓
Foot in the Door",Deadlock,0.5406926505458469,0.07123661140546889,0.002753259866546873,0.002477380131962041,81
Late (7-10),Self Modeling -> Personal Choice -> Self Modeling,"Self Modeling
↓
Personal Choice
↓
Self Modeling",Deadlock,0.5434975177765149,0.23307233195504162,0.003961573338206955,-0.05754783638758682,48
Late (7-10),Self Modeling -> Hesitance -> Self Modeling,"Self Modeling
↓
Hesitance
↓
Self Modeling",Deadlock,0.5334504908401277,0.30637607708468095,-0.0001899109063283506,0.012901972510420065,53
