Turn,Outcome,Mean_H_state,Mean_H_action,Mean_H_coupled
2,Fail,0.46576917085449965,0.2856372230630088,0.44189078307313784
2,Success,0.43910142347217784,0.28527787596363147,0.408663358637495
3,Fail,0.3862341183720507,0.19569333422051793,0.3625699380234737
3,Success,0.38684003550861773,0.1704209777450016,0.36072543813258234
4,Fail,0.3933435340129428,0.17303113858760816,0.362592234730593
4,Success,0.3899157145057202,0.2229924329195947,0.3659036723375795
5,Fail,0.4328529738450342,0.18906821677829125,0.4036611220114627
5,Success,0.46808855330890525,0.21556247351831026,0.4358477183865291
6,Fail,0.47307086906148627,0.1929877258523436,0.4429183833512461
6,Success,0.4851290816791782,0.24890027091541816,0.4659841769349704
7,Fail,0.512744851866298,0.1657472374807478,0.4766318168271022
7,Success,0.5167879914541005,0.24547307988456232,0.4810717222611164
8,Fail,0.4980993026545415,0.18163437234380042,0.4733236691399456
8,Success,0.534379379320876,0.13183010361432665,0.5127223867548908
9,Fail,0.5143808082371737,0.20262722172164535,0.494083292101362
9,Success,0.5394421662892762,0.12850643788852237,0.5015184283842464
10,Fail,0.5108978259946021,0.19003945213830084,0.48990605259466236
10,Success,0.581765060995237,0.0,0.5448648951060839
